Wie fühlst du dich BEVOR du DIR etwas Gutes getan hast? ,Wie fühlst du dich NACHDEM du DIR etwas Gutes getan hast? ,Wie fühlst du dich BEVOR du einem ANDEREN etwas Gutes getan hast?,Wie fühlst du dich NACHDEM du einem ANDEREN etwas Gutes getan hast?
4,5,4,5
8,10,8,10
6,9,6,8
4,8,6,10
7,9,5,8
6,7,6,8
9,9,9,6
4,5,4,6
3,7,5,7
4,6,4,7
5,8,6,9
6,8,6,9
3,8,5,8
6,10,8,8
7,9,7,8
6,9,6,9
5,6,5,6
5,10,5,10
6,8,7,9
5,7,6,8
8,9,7,10
6,7,6,8
9,10,9,10
6,8,7,8
5,5,6,8
6,9,7,8
7,9,7,9
7,9,7,8
6,9,6,10
6,8,7,9
999,999,999,999
9,9,9,10
6,7,6,8
999,999,999,999
6,8,7,8
999,999,999,999
7,9,8,8
8,9,8,10
999,999,999,999
999,999,999,999
7,9,7,10
6,7,7,9
999,999,999,999