Gruppenname,tmp,Wahrscheinlichkeit,Theor_Haeufigkeit,Augerginenkollektiv,ElyseJuliaNoemiMargot,DiceNuts,NICHT_Gruppe1,Bouillonwürfel,rotstruempfler,Pepe Jeans,kichererbsengang,NICHTGruppe1oder2,RTS,Bitsch,geogeo,Stachelschwein,Ylana_Anna_Nora,bestod_nor_os_mer_saelber,stev,Kartoffeln,Highrollers,Würfelwizzards,LNF,Luari,Würfelinos,GIUB 53,Jana,Tandoor,HS,Simma,Frati-Klimanos
2,5,0.027777778,1.388888889,2,4,0,1,2,2,3,3,3,1,2,1,2,3,1,5,4,5,1,0,3,3,1,2,2,2,2,4
3,4,0.055555556,2.777777778,3,3,1,2,3,3,7,5,4,5,5,0,1,5,3,8,0,4,0,4,3,4,3,3,2,1,5,3
4,3,0.083333333,4.166666667,6,1,1,5,3,4,2,2,0,6,3,2,5,4,4,4,1,5,5,4,5,7,5,4,8,4,3,2
5,2,0.111111111,5.555555556,6,5,5,5,6,5,8,2,6,4,5,7,6,5,6,2,10,4,3,3,5,2,4,6,5,7,2,5
6,1,0.138888889,6.944444444,5,5,8,8,7,4,6,6,7,7,6,12,7,3,7,6,6,5,13,7,7,7,2,8,10,7,10,5
7,0,0.166666667,8.333333333,9,6,10,9,9,7,10,7,5,9,10,8,8,4,8,6,8,4,5,10,7,8,10,5,7,8,8,8
8,1,0.138888889,6.944444444,5,10,6,7,8,7,2,9,9,5,7,6,8,7,7,7,5,5,7,6,6,9,6,7,4,5,10,8
9,2,0.111111111,5.555555556,4,6,5,5,5,8,5,7,6,5,4,5,6,5,6,5,5,4,5,5,4,4,5,8,6,4,5,9
10,3,0.083333333,4.166666667,5,8,7,3,4,5,0,6,6,3,4,3,2,3,4,2,8,5,5,5,5,3,7,4,3,5,4,2
11,4,0.055555556,2.777777778,3,2,4,3,2,3,5,3,2,5,3,6,4,5,3,3,3,4,5,4,2,3,5,1,1,5,1,3
12,5,0.027777778,1.388888889,2,0,3,2,1,2,2,0,2,0,1,0,1,6,1,2,0,5,1,2,2,0,2,2,2,2,0,1